[<aliyunsdkcore.client.AcsClient object at 0x11129bf28>]
{'id': 'ddc53de6-d0c0-422d-91ef-df92f389a899', 'ip': '10.252.221.7', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1qZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '378a7c48-7785-4d92-adc5-4bc7428bb43b', 'ip': '10.252.222.202', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': 'e24fd475-65f9-4c5b-a945-cf11882ac01f', 'ip': '10.252.225.120', 'hostname': 'iZbp1452lotbq8lqnz52y0Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': 'c06490be-020f-4fdb-a6ed-647905484d12', 'ip': '10.252.215.224', 'hostname': 'iZbp1ghq1mq4s4qoarcdf5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.64', 'cpu_count': 4, 'memory': 4096}
{'id': '3f4dc169-b184-421b-a774-9563daa858e2', 'ip': '10.252.208.232', 'hostname': 'iZbp1j4tmbjcb68w6gmbydZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.13.103', 'cpu_count': 4, 'memory': 4096}
{'id': '0cc1b358-0afa-4625-bb57-42a8c512518b', 'ip': '10.252.224.186', 'hostname': 'iZbp1hbv3lrr68g2xa08u1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.110', 'cpu_count': 4, 'memory': 4096}
{'id': '24ffc3fa-8347-4905-9488-48df84cd354a', 'ip': '10.252.214.195', 'hostname': 'iZbp1hbv3lrr68g2xa08twZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.228', 'cpu_count': 4, 'memory': 4096}
{'id': '8b72374d-518a-4fc9-b737-9d5bfa4f5ab2', 'ip': '10.47.104.188', 'hostname': 'iZbp10yfdqf57xph0pz43xZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.131.137', 'cpu_count': 4, 'memory': 8192}
{'id': '276d8ba8-916c-4438-b842-13c024990dc3', 'ip': '10.47.163.34', 'hostname': 'iZbp1c4vask3fyfnt9rj7lZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.199.46', 'cpu_count': 4, 'memory': 8192}
{'id': '368848b4-ecf7-4ac0-9317-4a54805f2579', 'ip': '10.47.163.44', 'hostname': 'iZbp1c4vask3fyfnt9rj7kZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '121.196.244.244', 'cpu_count': 4, 'memory': 8192}
{'id': '8c9f95a8-1d04-4253-9fb4-780bf7aaeda5', 'ip': '10.25.171.180', 'hostname': 'iZbp15i1wuu3o9sn6fgcwaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '90732376-f8f9-420f-b8e3-4c53dfdcc0be', 'ip': '10.24.36.200', 'hostname': 'iZbp176helegzn7ypttn87Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 1, 'memory': 4096}
{'id': '3310375f-fdd2-4a20-86ab-f7d8180502fb', 'ip': '10.252.213.90', 'hostname': 'iZbp166vsxc3yyqdtg9b8oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.242', 'cpu_count': 4, 'memory': 8192}
{'id': '5d09acce-d37d-44b9-8ad0-73b166b7bca4', 'ip': '10.117.3.55', 'hostname': 'iZbp166vsxc3yyqdtg9b8pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.195.24', 'cpu_count': 4, 'memory': 8192}
{'id': '247246bf-a88a-48d4-8ede-14e2f3738c60', 'ip': '10.28.15.216', 'hostname': 'iZbp19zpj9k5noa39s7q3nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.136', 'cpu_count': 4, 'memory': 16384}
{'id': 'ad7c6ae4-df79-4eab-a11a-bfe458a46543', 'ip': '10.172.201.47', 'hostname': 'iZbp19zpj9k5noa39s7q3mZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.148', 'cpu_count': 4, 'memory': 16384}
{'id': '01f3647e-4554-455d-9087-be796ebc03c1', 'ip': '10.24.26.224', 'hostname': 'iZbp10g1ws14xxeheaw285Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'f40a2199-c051-4f7e-8b47-9f77ecd1e2f3', 'ip': '10.45.53.26', 'hostname': 'iZbp10g1ws14xxeheaw286Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '1ca62298-3a45-4f13-b092-803b0acbce4f', 'ip': '10.27.6.35', 'hostname': 'iZbp10g1ws14xxeheaw287Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'dc15b92a-15b3-47c2-ba51-f2858f0306a0', 'ip': '10.25.172.248', 'hostname': 'iZbp10g1ws14xxeheaw288Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '02247662-591c-451c-bd0a-abbdfd18c670', 'ip': '10.47.49.32', 'hostname': 'iZbp14z3t1xyym18h5ztm5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': 'bb3ab9f2-b376-46de-b51c-dc2997da195f', 'ip': '10.27.6.168', 'hostname': 'iZbp174tqmt4v3t91dqhtcZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '29d69e4b-a2ad-4754-b95d-7cf92f2ee0ad', 'ip': '10.47.88.101', 'hostname': 'iZbp174tqmt4v3t91dqhtaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
