[<aliyunsdkcore.client.AcsClient object at 0x10a93a358>]
{'id': 'a83ef762-8638-4bad-b1df-d7fc4285a347', 'ip': '10.252.214.195', 'hostname': 'iZbp1hbv3lrr68g2xa08twZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.228', 'cpu_count': 4, 'memory': 4096}
{'id': '62795a4a-81e6-4010-9193-3d4fc9ae17bd', 'ip': '10.47.104.188', 'hostname': 'iZbp10yfdqf57xph0pz43xZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.131.137', 'cpu_count': 4, 'memory': 8192}
{'id': '3c900850-bf0c-4999-b05e-24e83ee02daa', 'ip': '10.47.163.34', 'hostname': 'iZbp1c4vask3fyfnt9rj7lZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.199.46', 'cpu_count': 4, 'memory': 8192}
{'id': '5d667413-13ec-464e-bdef-c4a35b29a54a', 'ip': '10.47.163.44', 'hostname': 'iZbp1c4vask3fyfnt9rj7kZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '121.196.244.244', 'cpu_count': 4, 'memory': 8192}
{'id': '2ac33e4b-9180-4c7b-ae1d-f6e28830631e', 'ip': '10.25.171.180', 'hostname': 'iZbp15i1wuu3o9sn6fgcwaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '2ebb4b66-e7fb-4851-b0de-e928f5ec8a48', 'ip': '10.24.36.200', 'hostname': 'iZbp176helegzn7ypttn87Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 1, 'memory': 4096}
{'id': 'ed90dd0a-5391-489f-863a-6503e5cfe6a3', 'ip': '10.252.213.90', 'hostname': 'iZbp166vsxc3yyqdtg9b8oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.242', 'cpu_count': 4, 'memory': 8192}
{'id': '31adfa32-db23-4a72-89de-537116fa5b02', 'ip': '10.117.3.55', 'hostname': 'iZbp166vsxc3yyqdtg9b8pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.195.24', 'cpu_count': 4, 'memory': 8192}
{'id': '6e0147b2-8649-4c34-bdd4-b777ea8f60a1', 'ip': '10.28.15.216', 'hostname': 'iZbp19zpj9k5noa39s7q3nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.136', 'cpu_count': 4, 'memory': 16384}
{'id': '04a93a39-8d9f-487e-8081-a8f2acbf7eff', 'ip': '10.172.201.47', 'hostname': 'iZbp19zpj9k5noa39s7q3mZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.148', 'cpu_count': 4, 'memory': 16384}
