[<aliyunsdkcore.client.AcsClient object at 0x109448978>]
{'id': '2eafae34-0469-4152-bc49-68bf2ffaa486', 'ip': '10.252.226.131', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1rZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': 'f792b005-c12f-439c-a2d7-21687aedb6ef', 'ip': '10.252.226.78', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1uZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '72cdc435-663a-4400-a288-1ccbf07588bf', 'ip': '10.252.224.28', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1tZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '5f5693fc-2efa-4fdb-82a0-f2c354277c2e', 'ip': '10.252.226.133', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '4e94a29c-92f9-44fa-bb8e-83cbcc03f885', 'ip': '10.252.223.128', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '473d0229-0855-4188-9e01-7f653dd8fec8', 'ip': '10.252.221.7', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1qZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '6ad9527a-678a-4f86-b3c3-6be1317d627a', 'ip': '10.252.222.202', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
{'id': '86c47c6c-1508-4a25-a9f5-90363f16cef2', 'ip': '10.252.225.120', 'hostname': 'iZbp1452lotbq8lqnz52y0Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '3dc6ae5c-6ad3-4f2b-ba79-c023f4c08826', 'ip': '10.252.215.224', 'hostname': 'iZbp1ghq1mq4s4qoarcdf5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.64', 'cpu_count': 4, 'memory': 4096}
{'id': 'd0bf4c8b-ecb3-4bf9-85f8-70446f11a51b', 'ip': '10.252.208.232', 'hostname': 'iZbp1j4tmbjcb68w6gmbydZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.13.103', 'cpu_count': 4, 'memory': 4096}
{'id': 'e19a7a98-8271-4e2c-a460-a5eba4f3a740', 'ip': '10.252.224.186', 'hostname': 'iZbp1hbv3lrr68g2xa08u1Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.110', 'cpu_count': 4, 'memory': 4096}
{'id': '6376b2db-ea57-4a94-bd9d-ce3501ec9ce2', 'ip': '10.252.214.195', 'hostname': 'iZbp1hbv3lrr68g2xa08twZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.228', 'cpu_count': 4, 'memory': 4096}
{'id': '2cf4a2ca-ff05-4d2b-84ba-81b13ee89d7a', 'ip': '10.47.104.188', 'hostname': 'iZbp10yfdqf57xph0pz43xZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.131.137', 'cpu_count': 4, 'memory': 8192}
{'id': 'cdeed470-7ba3-4dbf-82d3-fd89f3793a2b', 'ip': '10.47.163.34', 'hostname': 'iZbp1c4vask3fyfnt9rj7lZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.27.199.46', 'cpu_count': 4, 'memory': 8192}
{'id': '2d422153-ea30-42f0-b9b1-b043ab8c10a9', 'ip': '10.47.163.44', 'hostname': 'iZbp1c4vask3fyfnt9rj7kZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '121.196.244.244', 'cpu_count': 4, 'memory': 8192}
{'id': '868fbcc3-d823-44ec-baad-db2b5db83920', 'ip': '10.25.171.180', 'hostname': 'iZbp15i1wuu3o9sn6fgcwaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': 'ae584178-c3c8-40cb-9102-b9ac36c6b813', 'ip': '10.24.36.200', 'hostname': 'iZbp176helegzn7ypttn87Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 1, 'memory': 4096}
{'id': 'ffd1a92a-7459-4d1a-9dbd-413db4ddffe8', 'ip': '10.252.213.90', 'hostname': 'iZbp166vsxc3yyqdtg9b8oZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.4.242', 'cpu_count': 4, 'memory': 8192}
{'id': 'fd90d340-419e-401d-9a98-2d931fedf99e', 'ip': '10.117.3.55', 'hostname': 'iZbp166vsxc3yyqdtg9b8pZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.195.24', 'cpu_count': 4, 'memory': 8192}
{'id': '4c2ea3c4-3026-4550-979e-87eaab978d2f', 'ip': '10.28.15.216', 'hostname': 'iZbp19zpj9k5noa39s7q3nZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.136', 'cpu_count': 4, 'memory': 16384}
{'id': 'fabc93ae-4f56-444f-94b6-1279354718e7', 'ip': '10.172.201.47', 'hostname': 'iZbp19zpj9k5noa39s7q3mZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.101.148', 'cpu_count': 4, 'memory': 16384}
{'id': '7f04c12f-5676-4585-bfa2-45c81fd4491f', 'ip': '10.24.26.224', 'hostname': 'iZbp10g1ws14xxeheaw285Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'c3fd75b1-39a1-476d-955b-4175ec11f1ff', 'ip': '10.45.53.26', 'hostname': 'iZbp10g1ws14xxeheaw286Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'db4507e8-7d11-46d6-ac66-03b32e547db3', 'ip': '10.27.6.35', 'hostname': 'iZbp10g1ws14xxeheaw287Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'a5be9fe6-1784-4237-8e58-5dd46177b036', 'ip': '10.25.172.248', 'hostname': 'iZbp10g1ws14xxeheaw288Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'dca1bf0e-9079-45cb-bf01-5dadc79d101b', 'ip': '10.47.49.32', 'hostname': 'iZbp14z3t1xyym18h5ztm5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 16384}
{'id': 'cc56dc5e-bd92-4caa-af40-90db675f74c3', 'ip': '10.27.6.168', 'hostname': 'iZbp174tqmt4v3t91dqhtcZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'f7fa54be-0bb7-42db-88a0-8b379c23007f', 'ip': '10.47.88.101', 'hostname': 'iZbp174tqmt4v3t91dqhtaZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '25ff8586-a319-487e-b11f-3f5f124b76c7', 'ip': '10.26.20.128', 'hostname': 'iZbp174tqmt4v3t91dqhtbZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
